Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
iBAT ZT_06 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_035.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_041.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_042.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_045.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_09 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_046.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_006.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_007.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_010.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_12 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_011.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_017.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_018.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_021.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_15 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_022.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_028.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_029.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_032.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_18 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_033.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_039.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_040.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_043.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_21 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_044.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_059.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_060.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep3	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_063.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_00 rep4	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_064.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep1	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_070.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
iBAT ZT_03 rep2	Extraction	chloroform/methanol 			Chromatography	Thermo Scientific UltiMate 3000 Standard HPLC system				ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 150 mm; Waters)	reverse phase						Mass spectrometry	alternating	150-2000	Thermo Scientific Q Exactive Plus	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000661	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484			Data transformation		FILES/DERIVED_FILES/LIPIDS_20210420_071.mzXML	Metabolite identification		m_MTBLS4082_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
