Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
MS15006003_POS	Extraction	120 μl isopropanol	none	MS15006003_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006003_POS	FILES/MS15006003_POS.raw.zip	Data transformation	MS15006003_POS		Metabolite identification	MS15006003_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006033_POS	Extraction	120 μl isopropanol	none	MS15006033_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006033_POS	FILES/MS15006033_POS.raw.zip	Data transformation	MS15006033_POS		Metabolite identification	MS15006033_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_011_POS	Extraction	120 μl isopropanol	none	20150707_QC_011_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_011_POS	FILES/20150707_QC_011_POS.raw.zip	Data transformation	20150707_QC_011_POS		Metabolite identification	20150707_QC_011_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006093_POS	Extraction	120 μl isopropanol	none	MS15006093_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006093_POS	FILES/MS15006093_POS.raw.zip	Data transformation	MS15006093_POS		Metabolite identification	MS15006093_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006004_POS	Extraction	120 μl isopropanol	none	MS15006004_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006004_POS	FILES/MS15006004_POS.raw.zip	Data transformation	MS15006004_POS		Metabolite identification	MS15006004_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006034_POS	Extraction	120 μl isopropanol	none	MS15006034_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006034_POS	FILES/MS15006034_POS.raw.zip	Data transformation	MS15006034_POS		Metabolite identification	MS15006034_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006094_POS	Extraction	120 μl isopropanol	none	MS15006094_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006094_POS	FILES/MS15006094_POS.raw.zip	Data transformation	MS15006094_POS		Metabolite identification	MS15006094_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006005_POS	Extraction	120 μl isopropanol	none	MS15006005_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006005_POS	FILES/MS15006005_POS.raw.zip	Data transformation	MS15006005_POS		Metabolite identification	MS15006005_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006035_POS	Extraction	120 μl isopropanol	none	MS15006035_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006035_POS	FILES/MS15006035_POS.raw.zip	Data transformation	MS15006035_POS		Metabolite identification	MS15006035_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006095_POS	Extraction	120 μl isopropanol	none	MS15006095_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006095_POS	FILES/MS15006095_POS.raw.zip	Data transformation	MS15006095_POS		Metabolite identification	MS15006095_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_012_POS	Extraction	120 μl isopropanol	none	20150707_QC_012_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_012_POS	FILES/20150707_QC_012_POS.raw.zip	Data transformation	20150707_QC_012_POS		Metabolite identification	20150707_QC_012_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006096_POS	Extraction	120 μl isopropanol	none	MS15006096_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006096_POS	FILES/MS15006096_POS.raw.zip	Data transformation	MS15006096_POS		Metabolite identification	MS15006096_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006007_POS	Extraction	120 μl isopropanol	none	MS15006007_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006007_POS	FILES/MS15006007_POS.raw.zip	Data transformation	MS15006007_POS		Metabolite identification	MS15006007_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006037_POS	Extraction	120 μl isopropanol	none	MS15006037_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006037_POS	FILES/MS15006037_POS.raw.zip	Data transformation	MS15006037_POS		Metabolite identification	MS15006037_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006097_POS	Extraction	120 μl isopropanol	none	MS15006097_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006097_POS	FILES/MS15006097_POS.raw.zip	Data transformation	MS15006097_POS		Metabolite identification	MS15006097_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006008_POS	Extraction	120 μl isopropanol	none	MS15006008_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006008_POS	FILES/MS15006008_POS.raw.zip	Data transformation	MS15006008_POS		Metabolite identification	MS15006008_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006038_POS	Extraction	120 μl isopropanol	none	MS15006038_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006038_POS	FILES/MS15006038_POS.raw.zip	Data transformation	MS15006038_POS		Metabolite identification	MS15006038_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_013_POS	Extraction	120 μl isopropanol	none	20150707_QC_013_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_013_POS	FILES/20150707_QC_013_POS.raw.zip	Data transformation	20150707_QC_013_POS		Metabolite identification	20150707_QC_013_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006098_POS	Extraction	120 μl isopropanol	none	MS15006098_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006098_POS	FILES/MS15006098_POS.raw.zip	Data transformation	MS15006098_POS		Metabolite identification	MS15006098_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006009_POS	Extraction	120 μl isopropanol	none	MS15006009_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006009_POS	FILES/MS15006009_POS.raw.zip	Data transformation	MS15006009_POS		Metabolite identification	MS15006009_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006039_POS	Extraction	120 μl isopropanol	none	MS15006039_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006039_POS	FILES/MS15006039_POS.raw.zip	Data transformation	MS15006039_POS		Metabolite identification	MS15006039_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006099_POS	Extraction	120 μl isopropanol	none	MS15006099_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006099_POS	FILES/MS15006099_POS.raw.zip	Data transformation	MS15006099_POS		Metabolite identification	MS15006099_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006010_POS	Extraction	120 μl isopropanol	none	MS15006010_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006010_POS	FILES/MS15006010_POS.raw.zip	Data transformation	MS15006010_POS		Metabolite identification	MS15006010_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006040_POS	Extraction	120 μl isopropanol	none	MS15006040_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006040_POS	FILES/MS15006040_POS.raw.zip	Data transformation	MS15006040_POS		Metabolite identification	MS15006040_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006100_POS	Extraction	120 μl isopropanol	none	MS15006100_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006100_POS	FILES/MS15006100_POS.raw.zip	Data transformation	MS15006100_POS		Metabolite identification	MS15006100_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_014_POS	Extraction	120 μl isopropanol	none	20150707_QC_014_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_014_POS	FILES/20150707_QC_014_POS.raw.zip	Data transformation	20150707_QC_014_POS		Metabolite identification	20150707_QC_014_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006011_POS	Extraction	120 μl isopropanol	none	MS15006011_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006011_POS	FILES/MS15006011_POS.raw.zip	Data transformation	MS15006011_POS		Metabolite identification	MS15006011_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006041_POS	Extraction	120 μl isopropanol	none	MS15006041_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006041_POS	FILES/MS15006041_POS.raw.zip	Data transformation	MS15006041_POS		Metabolite identification	MS15006041_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006101_POS	Extraction	120 μl isopropanol	none	MS15006101_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006101_POS	FILES/MS15006101_POS.raw.zip	Data transformation	MS15006101_POS		Metabolite identification	MS15006101_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006012_POS	Extraction	120 μl isopropanol	none	MS15006012_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006012_POS	FILES/MS15006012_POS.raw.zip	Data transformation	MS15006012_POS		Metabolite identification	MS15006012_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006042_POS	Extraction	120 μl isopropanol	none	MS15006042_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006042_POS	FILES/MS15006042_POS.raw.zip	Data transformation	MS15006042_POS		Metabolite identification	MS15006042_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006102_POS	Extraction	120 μl isopropanol	none	MS15006102_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006102_POS	FILES/MS15006102_POS.raw.zip	Data transformation	MS15006102_POS		Metabolite identification	MS15006102_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006013_POS	Extraction	120 μl isopropanol	none	MS15006013_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006013_POS	FILES/MS15006013_POS.raw.zip	Data transformation	MS15006013_POS		Metabolite identification	MS15006013_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
MS15006043_POS	Extraction	120 μl isopropanol	none	MS15006043_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			MS15006043_POS	FILES/MS15006043_POS.raw.zip	Data transformation	MS15006043_POS		Metabolite identification	MS15006043_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150707_QC_015_POS	Extraction	120 μl isopropanol	none	20150707_QC_015_POS	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	50-1800	Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150707_QC_015_POS	FILES/20150707_QC_015_POS.raw.zip	Data transformation	20150707_QC_015_POS		Metabolite identification	20150707_QC_015_POS	m_MTBLS408_pos_psoriasis_metabolite_profiling_mass_spectrometry_v2_maf.tsv
