Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
WT24hLPS_05	Extraction			WT24hLPS_05	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT24hLPS_05	FILES/RAW_FILES/20180928_032.raw	Data transformation	WT24hLPS_05	FILES/DERIVED_FILES/20180928_032.mzXML	Metabolite identification	WT24hLPS_05	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT24hLPS_06	Extraction			WT24hLPS_06	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT24hLPS_06	FILES/RAW_FILES/20180928_020.raw	Data transformation	WT24hLPS_06	FILES/DERIVED_FILES/20180928_020.mzXML	Metabolite identification	WT24hLPS_06	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Ko_01	Extraction			Ko_01	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Ko_01	FILES/RAW_FILES/20180928_022.raw	Data transformation	Ko_01	FILES/DERIVED_FILES/20180928_022.mzXML	Metabolite identification	Ko_01	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Ko_02	Extraction			Ko_02	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Ko_02	FILES/RAW_FILES/20180928_005.raw	Data transformation	Ko_02	FILES/DERIVED_FILES/20180928_005.mzXML	Metabolite identification	Ko_02	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Ko_03	Extraction			Ko_03	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Ko_03	FILES/RAW_FILES/20180928_019.raw	Data transformation	Ko_03	FILES/DERIVED_FILES/20180928_019.mzXML	Metabolite identification	Ko_03	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Ko_04	Extraction			Ko_04	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Ko_04	FILES/RAW_FILES/20180928_042.raw	Data transformation	Ko_04	FILES/DERIVED_FILES/20180928_042.mzXML	Metabolite identification	Ko_04	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Ko_05	Extraction			Ko_05	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Ko_05	FILES/RAW_FILES/20180928_046.raw	Data transformation	Ko_05	FILES/DERIVED_FILES/20180928_046.mzXML	Metabolite identification	Ko_05	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Ko_06	Extraction			Ko_06	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Ko_06	FILES/RAW_FILES/20180928_052.raw	Data transformation	Ko_06	FILES/DERIVED_FILES/20180928_052.mzXML	Metabolite identification	Ko_06	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Wt_01	Extraction			Wt_01	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Wt_01	FILES/RAW_FILES/20180928_056.raw	Data transformation	Wt_01	FILES/DERIVED_FILES/20180928_056.mzXML	Metabolite identification	Wt_01	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Wt_02	Extraction			Wt_02	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Wt_02	FILES/RAW_FILES/20180928_040.raw	Data transformation	Wt_02	FILES/DERIVED_FILES/20180928_040.mzXML	Metabolite identification	Wt_02	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Wt_03	Extraction			Wt_03	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Wt_03	FILES/RAW_FILES/20180928_055.raw	Data transformation	Wt_03	FILES/DERIVED_FILES/20180928_055.mzXML	Metabolite identification	Wt_03	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Wt_04	Extraction			Wt_04	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Wt_04	FILES/RAW_FILES/20180928_012.raw	Data transformation	Wt_04	FILES/DERIVED_FILES/20180928_012.mzXML	Metabolite identification	Wt_04	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Wt_05	Extraction			Wt_05	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Wt_05	FILES/RAW_FILES/20180928_049.raw	Data transformation	Wt_05	FILES/DERIVED_FILES/20180928_049.mzXML	Metabolite identification	Wt_05	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
Wt_06	Extraction			Wt_06	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	Wt_06	FILES/RAW_FILES/20180928_009.raw	Data transformation	Wt_06	FILES/DERIVED_FILES/20180928_009.mzXML	Metabolite identification	Wt_06	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
