Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
WT_N_5	Extraction			WT_N_5	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_N_5	FILES/RAW_FILES/20170804_020.raw	Data transformation	WT_N_5	FILES/DERIVED_FILES/20170804_020.mzXML	Metabolite identification	WT_N_5	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
WT_N_6	Extraction			WT_N_6	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	WT_N_6	FILES/RAW_FILES/20170804_025.raw	Data transformation	WT_N_6	FILES/DERIVED_FILES/20170804_025.mzXML	Metabolite identification	WT_N_6	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_LPS_1	Extraction			KO_LPS_1	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_LPS_1	FILES/RAW_FILES/20170804_006.raw	Data transformation	KO_LPS_1	FILES/DERIVED_FILES/20170804_006.mzXML	Metabolite identification	KO_LPS_1	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_LPS_2	Extraction			KO_LPS_2	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_LPS_2	FILES/RAW_FILES/20170804_007.raw	Data transformation	KO_LPS_2	FILES/DERIVED_FILES/20170804_007.mzXML	Metabolite identification	KO_LPS_2	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_LPS_3	Extraction			KO_LPS_3	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_LPS_3	FILES/RAW_FILES/20170804_013.raw	Data transformation	KO_LPS_3	FILES/DERIVED_FILES/20170804_013.mzXML	Metabolite identification	KO_LPS_3	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_LPS_4	Extraction			KO_LPS_4	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_LPS_4	FILES/RAW_FILES/20170804_018.raw	Data transformation	KO_LPS_4	FILES/DERIVED_FILES/20170804_018.mzXML	Metabolite identification	KO_LPS_4	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_LPS_5	Extraction			KO_LPS_5	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_LPS_5	FILES/RAW_FILES/20170804_019.raw	Data transformation	KO_LPS_5	FILES/DERIVED_FILES/20170804_019.mzXML	Metabolite identification	KO_LPS_5	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_LPS_6	Extraction			KO_LPS_6	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_LPS_6	FILES/RAW_FILES/20170804_026.raw	Data transformation	KO_LPS_6	FILES/DERIVED_FILES/20170804_026.mzXML	Metabolite identification	KO_LPS_6	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_N_1	Extraction			KO_N_1	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_N_1	FILES/RAW_FILES/20170804_003.raw	Data transformation	KO_N_1	FILES/DERIVED_FILES/20170804_003.mzXML	Metabolite identification	KO_N_1	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_N_2	Extraction			KO_N_2	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_N_2	FILES/RAW_FILES/20170804_009.raw	Data transformation	KO_N_2	FILES/DERIVED_FILES/20170804_009.mzXML	Metabolite identification	KO_N_2	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_N_3	Extraction			KO_N_3	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_N_3	FILES/RAW_FILES/20170804_014.raw	Data transformation	KO_N_3	FILES/DERIVED_FILES/20170804_014.mzXML	Metabolite identification	KO_N_3	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_N_4	Extraction			KO_N_4	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_N_4	FILES/RAW_FILES/20170804_021.raw	Data transformation	KO_N_4	FILES/DERIVED_FILES/20170804_021.mzXML	Metabolite identification	KO_N_4	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
KO_N_5	Extraction			KO_N_5	Chromatography	Thermo Scientific UHPLC System				ZIC-cHILIC (3 µm, 2.1 mm x 150 mm; Merck Sequant)	HILIC						Mass spectrometry	negative	50-1000	Thermo Scientific Q Exactive Plus			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	KO_N_5	FILES/RAW_FILES/20170804_024.raw	Data transformation	KO_N_5	FILES/DERIVED_FILES/20170804_024.mzXML	Metabolite identification	KO_N_5	m_MTBLS2159_LC-MS_NEG_HILIC_metabolite_profiling_v2_maf.tsv
