database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	iBAT ZT_00 rep1	iBAT ZT_00 rep2	iBAT ZT_00 rep3	iBAT ZT_00 rep4	iBAT ZT_03 rep1	iBAT ZT_03 rep2	iBAT ZT_03 rep3	iBAT ZT_03 rep4	iBAT ZT_06 rep1	iBAT ZT_06 rep2	iBAT ZT_06 rep3	iBAT ZT_06 rep4	iBAT ZT_09 rep1	iBAT ZT_09 rep2	iBAT ZT_09 rep3	iBAT ZT_09 rep4	iBAT ZT_12 rep1	iBAT ZT_12 rep2	iBAT ZT_12 rep3	iBAT ZT_12 rep4	iBAT ZT_15 rep1	iBAT ZT_15 rep2	iBAT ZT_15 rep3	iBAT ZT_15 rep4	iBAT ZT_18 rep1	iBAT ZT_18 rep2	iBAT ZT_18 rep3	iBAT ZT_18 rep4	iBAT ZT_21 rep1	iBAT ZT_21 rep2	iBAT ZT_21 rep3	iBAT ZT_21 rep4
	C38H70O8P1N1			PE(33:3)	698.4768	[M-H]-															3.53909	0.990658	0.616749	1.57664	0.264616	0.214643	0.271466	2.72323	1.02896	0.338823	0.666185	1.50627	0.998518	0.292656	0.592798	0.562636	0.650979	0.744291	2.00524	0.689719	0.57303	1.31336	2.41767	0.186784	0.632132	0.582946	1.42499	0.610606	0.717738	0.31338	0.877371	0.225857
	C39H78O8P1N1			PE(34:0)	718.5402	[M-H]-															21.2984	21.5383	14.7556	16.9008	15.9485	14.9448	14.522	10.9067	15.2505	12.9562	18.3236	15.662	15.1587	13.2736	16.414	18.4229	12.5608	15.1305	17.095	17.552	22.2869	18.4887	22.8022	25.7142	7.46398	14.5659	20.8575	18.5692	12.4794	19.8859	15.9103	13.2182
	C39H76O8P1N1			PE(34:1)	716.5242	[M-H]-															273.391	305.248	235.107	296.576	231.989	267.547	401.483	294.73	220.493	192.837	262.787	213.914	192.062	193.837	295.128	219.574	316.232	188.268	206.584	271.246	315.568	162.522	283.685	300.964	183.335	233.482	332.599	358.292	284.443	266.714	267.741	225.255
	C39H74O8P1N1			PE(34:2)	714.5089	[M-H]-															1247.88	1085.85	730.031	1290.38	775.546	858.934	1211.64	936.126	1108.39	865.562	1050.67	789.126	845.072	715.009	1161.21	797.611	1110.94	837.068	814.381	861.135	977.674	462.488	786.032	890.006	587.528	878.632	1291.09	1044.58	1059.72	781.019	1191.26	711.629
	C39H72O8P1N1			PE(34:3)	712.4933	[M-H]-															305.556	278.185	208.877	322.099	260.013	284.756	488.758	367.314	278.505	237.112	346.394	205.787	265.333	191.486	358.681	240.707	401.843	254.013	164.928	326.108	336.521	137.265	265.724	287.624	151.102	224.71	320.158	243.59	235.56	249.215	329.432	194.868
	C39H70O8P1N1			PE(34:4)	710.4779	[M-H]-															9.82113	8.74895	5.44082	12.5689	7.51813	8.78279	18.4061	11.9819	9.31932	6.97374	11.4462	6.77775	7.94624	4.48505	10.5275	7.16995	10.929	7.0181	5.79612	10.1056	8.842	2.82844	5.92862	6.98877	4.59638	6.20712	8.93619	6.96371	6.95861	5.96938	10.8008	6.7904
	C39H68O8P1N1			PE(34:5)	708.4614	[M-H]-															0.879521	0.469049	0.301846	0.669963	0.404727	0.83806	1.73027	0.790773	0.888533	0.460403	1.42113	0.434146	0.499457	0.520313	0.802004	0.287979	0.993709	0.516706	0.500834	0.815181	0.417833	0.0881823	0.183034	0.45194	0.11236	0.247699	0.422722	0.305105	0.437812	0.445916	0.997797	0.354265
	C40H80O8P1N1			PE(35:0)	732.5558	[M-H]-															0.873985	0.697909	0.154881	0.716085	0.465379	0.38984	0.566685	0.399781	0.423131	0.498729	1.05604	0.387106	0.383863	0.184615	0.499113	0.389182	0.387446	0.579679	1.02016	0.773848	0.60669	0.530232	0.369793	0.955847	0.146628	0.375499	0.303379	0.518578	0.29115	0.440625	0.465019	0.314454
	C40H78O8P1N1			PE(35:1)	730.5402	[M-H]-															7.45772	7.41739	5.46618	5.33428	5.8268	4.96827	5.72798	4.77841	4.32149	4.04336	6.29796	4.83554	4.58555	5.28402	4.66907	5.02022	7.22443	4.94567	7.22662	4.98128	7.07903	5.81582	8.60881	7.22486	3.46889	4.84033	7.1547	7.73841	7.9071	6.27991	5.23752	3.79141
	C40H76O8P1N1			PE(35:2)	728.5248	[M-H]-															20.5058	20.0051	11.8764	17.3566	13.3865	11.6609	10.6925	11.034	14.2352	12.787	18.3057	13.4578	14.8014	15.823	13.765	15.8239	17.1452	19.1367	21.3755	13.0583	17.3221	16.3808	16.7007	18.4964	8.3429	12.1532	17.2533	16.8755	16.8451	16.2179	18.1154	9.9892
	C40H74O8P1N1			PE(35:3)	726.5093	[M-H]-															9.52698	8.62645	4.59575	7.52647	5.19536	5.42406	5.90515	5.30893	5.91518	6.41533	8.8574	4.92458	6.74844	6.43975	7.14635	6.69343	7.35667	6.92921	7.30953	7.20428	7.57625	6.69438	7.97088	6.90707	3.43695	5.26601	7.80979	5.76866	5.33852	6.90763	9.07692	4.10385
	C40H72O8P1N1			PE(35:4)	724.4926	[M-H]-															1.44487	0.80004	0.382311	1.63957	0.634285	0.724785	0.882485	0.552153	1.13358	0.993862	1.46321	0.449952	0.866445	0.321983	1.13558	0.694185	0.734626	0.806291	0.942639	0.923284	0.654275	0.376387	0.480829	0.479998	0.335963	0.480942	0.689536	0.543476	0.748117	0.314424	1.0748	0.550423
	C41H82O8P1N1			PE(36:0)	746.5715	[M-H]-															6.80957	6.07327	2.4422	6.58511	2.85615	3.35972	4.53986	2.56478	6.82303	4.26744	6.99775	3.3956	3.89689	2.15025	5.26822	3.95221	2.67615	4.00239	5.3466	4.68468	4.93678	2.91083	2.94329	5.05018	1.79187	2.0717	5.3389	3.23468	4.12442	1.73301	4.15044	2.39968
	C41H80O8P1N1			PE(36:1)	744.5555	[M-H]-															144.7	208.569	158.981	131.132	142.786	136.292	177.214	121.635	112.133	106.816	129.488	108.975	108.681	125.744	122.549	118.632	187.656	110.741	191.061	126.18	161.299	113.877	221.846	160.861	93.3104	98.1831	239.281	222.479	192.794	134.746	131.183	109.396
	C41H78O8P1N1			PE(36:2)	742.5399	[M-H]-															971.689	1035.86	662.096	826.102	660.785	643.385	698.622	586.014	848.424	713.094	861.197	690.892	738.989	781.307	786.488	811.184	836.12	878.098	958.723	683.042	885.274	704.52	842.291	839.505	443.85	613.978	1079.31	921.293	861.15	758	894.442	563.172
	C41H76O8P1N1			PE(36:3)	740.5244	[M-H]-															956.702	1002.51	628.33	857.593	717.001	687.017	877.374	717.657	855.893	737.002	880.62	658.744	842.603	716.627	901.838	777.745	1026.53	826.147	861.456	862.51	935.342	632.068	791.226	841.35	429.954	593.15	1059.91	739.985	712.625	777.374	1057.54	543.8
	C41H74O8P1N1			PE(36:4)	738.5089	[M-H]-															1027.58	870.628	518.337	1077.19	645.242	673.069	966.486	732.383	917.715	747.989	919.725	597.752	810.283	498.88	960.516	697.781	979.172	694.42	764.332	955.675	838.771	384.494	574.692	673.136	419.115	584.374	897.953	565.224	705.206	483.795	934.932	594.78
	C41H72O8P1N1			PE(36:5)	736.4934	[M-H]-															117.584	97.5274	66.7656	115.345	94.7814	94.1049	180.958	117.392	106.116	85.2784	152.724	73.508	119.569	65.9961	145.944	112.24	140.24	94.261	74.9302	165.922	133.348	69.0747	87.7685	98.0904	38.0902	62.1817	87.1437	57.6875	63.6404	72.1416	112.523	77.0692
	C41H70O8P1N1			PE(36:6)	734.478	[M-H]-															8.28796	6.42164	3.69059	7.45786	5.81195	7.30107	12.7308	8.41853	7.14702	5.8168	10.039	4.735	6.49227	3.51756	10.0847	5.9835	8.70155	5.83569	5.07573	9.76812	6.35682	2.56476	5.40059	5.51409	2.37568	3.48985	6.095	3.08414	3.15223	3.54464	7.32412	5.44913
	C42H82O8P1N1			PE(37:1)	758.5707	[M-H]-															2.47271	3.07554	1.73746	1.524	2.12971	1.5733	1.36134	1.30128	1.45754	1.29146	1.91029	1.61484	1.95604	2.00383	1.19096	1.77642	2.12814	1.71358	2.8058	1.85167	2.59775	2.45267	3.41674	2.97063	0.775888	1.42521	1.79346	2.32769	2.41471	2.25528	1.73262	1.12439
	C42H80O8P1N1			PE(37:2)	756.5555	[M-H]-															12.5997	11.2909	6.60986	6.9077	7.83886	6.66567	5.33101	5.02706	7.8605	6.87479	9.74665	8.3176	8.65923	10.4401	5.27395	8.66146	8.90866	9.92219	11.6155	7.03258	12.1945	12.3297	11.0078	11.2452	4.37999	7.23281	8.39468	8.30041	8.54405	11.0212	9.26214	4.99125
	C42H78O8P1N1			PE(37:3)	754.5391	[M-H]-															16.5683	18.2374	2.6859	7.49228	14.9098	7.04499	11.7036	10.004	12.9445	11.4666	17.4673	11.0081	0.464784	9.09765	8.46964	9.45827	16.1665	16.1641	7.67424	13.141	13.0763	14.2459	19.4393	6.51697	3.16627	6.73151	5.76863	5.40618	16.5505	14.9822	9.31797	8.49788
	C42H76O8P1N1			PE(37:4)	752.524	[M-H]-															24.3286	21.7558	10.3824	18.4504	14.0209	10.7301	11.8873	10.5158	14.8477	14.4064	22.4894	12.2622	17.7653	13.8952	14.0501	15.9606	15.5086	21.1533	22.1527	17.6629	18.2267	16.4815	17.0734	18.1643	7.85395	11.4683	15.9649	11.5075	15.8979	14.6955	17.801	9.20203
	C42H74O8P1N1			PE(37:5)	750.5089	[M-H]-															4.05841	3.14184	1.0363	2.86593	2.52016	2.08344	2.24475	1.94541	2.75934	2.25567	4.15246	1.86837	3.48732	1.43761	3.26306	2.65029	3.82637	4.03607	3.82105	4.06157	3.63063	2.85922	2.33264	2.91619	0.490169	0.655415	1.81387	1.04318	1.72484	1.81885	3.53337	0.749195
	C42H72O8P1N1			PE(37:6)	748.4924	[M-H]-															1.03216	0.881836	0.495182	1.51652	0.930464	1.37446	1.256	0.670777	1.44183	0.956763	2.49966	0.357144	1.09947	0.367692	1.22075	1.00891	0.927781	1.23423	1.12263	1.60765	0.773756	0.636067	0.370618	0.680162	0.25571	0.60088	0.648203	0.41419	0.375297	0.409026	1.36529	0.754042
	C43H84O8P1N1			PE(38:1)	772.5866	[M-H]-															8.35438	12.833	8.7415	7.07258	8.28679	6.93583	6.32022	4.17547	5.53813	5.9101	6.09319	5.66162	6.08161	8.29006	4.70194	7.51207	8.75189	7.73203	12.4005	5.41236	8.24899	9.08795	13.7374	9.18858	4.70694	5.92552	15.4635	12.3652	11.2534	9.48783	7.8438	5.12825
	C43H82O8P1N1			PE(38:2)	770.5709	[M-H]-															25.8927	30.8575	20.0373	20.4171	23.2042	20.0862	17.4907	16.8102	16.3391	18.0923	21.5658	18.8896	20.1109	22.8541	15.6554	21.5422	22.7619	22.5598	26.0176	19.697	26.2028	24.233	32.3924	29.6484	12.7575	18.2621	32.3392	27.3783	21.9213	30.0665	25.3863	16.5935
	C43H80O8P1N1			PE(38:3)	768.555	[M-H]-															137.734	149.24	95.5816	217.657	108.187	93.0547	94.0044	93.4848	104.554	94.0388	121.466	85.6832	107.023	106.119	100.593	117.446	112.458	121.661	135.527	119.126	144.179	110.2	131.515	139.964	57.283	77.206	140.993	99.1496	86.0504	108.455	125.262	128.395
	C43H78O8P1N1			PE(38:4)	766.5395	[M-H]-															2163.24	2029.51	1149.76	2059.57	1363.66	1222.75	1561.8	1219.09	1920.35	1615.46	1916.94	1182.62	1782.61	1354.31	1728.32	1635.8	1811.74	1821.65	2031.94	1750.69	1906.6	1299.45	1490.54	1576.78	887.809	1162.89	2113.36	1260.3	1755.34	1054.94	1973.12	1131.99
	C43H76O8P1N1			PE(38:5)	764.524	[M-H]-															835.642	773.667	430.6	819.812	610.339	554.005	860.514	620.387	758.535	615.488	965.521	522.798	831.759	485.559	876.723	742.06	840.401	693.34	769.082	982.112	829.195	544.254	577.574	644.876	285.057	448.337	636.352	431.01	482.684	453.797	818.047	488.195
	C43H74O8P1N1			PE(38:6)	762.5085	[M-H]-															1066.8	949.475	483.829	1071.53	720.692	710.78	958.939	779.914	942.893	765.791	1048.37	583.298	800.408	413.685	972.196	683.884	862.444	728.174	831.34	911.208	752.228	323.405	582.452	680.318	383.805	552.878	854.921	494.498	578.124	384.949	868.799	592.693
	C43H72O8P1N1			PE(38:7)	760.4929	[M-H]-															88.947	72.1899	46.2368	90.1588	72.4514	86.0713	173.943	116.493	84.7631	66.6195	144.906	61.8849	86.415	36.9034	137.825	78.2179	101.391	68.587	56.1862	142.372	81.334	31.5365	57.7422	67.4419	23.3107	48.6524	50.9551	36.9078	34.7878	47.6615	77.4197	58.9885
	C44H86O8P1N1			PE(39:1)	786.6018	[M-H]-															2.50299	2.33532	0.678395	1.56142	0.824572	1.17622	2.86079	1.24176	1.46575	1.40857	1.57673	1.01587	1.42977	0.585399	1.42966	0.62626	1.41126	1.4075	2.00409	1.05305	0.825976	1.76346	1.13405	0.859371	0.44385	0.706321	1.24921	1.64442	0.912463	1.46835	1.69988	0.683943
	C44H82O8P1N1			PE(39:3)	782.5713	[M-H]-															4.63626	2.9595	0.927628	2.15608	2.6226	2.02396	2.59202	2.3448	2.53268	2.12967	4.13028	1.97511	2.4888	0.917379	3.00669	2.45469	2.32788	2.68402	3.96218	2.80771	3.22135	1.90527	1.86008	2.63989	0.585065	1.27113	1.96121	1.64009	1.84872	1.77943	2.85213	1.28085
	C44H80O8P1N1			PE(39:4)	780.5554	[M-H]-															31.375	26.5837	13.1825	18.4617	18.7747	14.9088	14.9365	14.6305	17.77	19.409	27.8383	17.5953	23.3435	17.4766	17.3963	18.8411	20.1365	24.4426	27.2847	20.4603	27.5763	22.0787	23.7341	25.2848	9.26044	15.2101	17.9615	14.9411	20.6682	16.7863	17.1321	11.9952
	C44H78O8P1N1			PE(39:5)	778.5397	[M-H]-															6.84512	5.72764	2.73382	5.79834	4.19292	4.14043	4.46742	3.94266	4.22279	4.85019	7.37378	3.8114	4.31096	3.31484	4.88804	4.80009	5.183	5.1423	5.57068	5.57837	6.06393	2.89837	4.23761	5.41198	2.3083	3.54941	3.88637	4.24407	4.52651	3.17371	4.86126	3.32011
	C44H76O8P1N1			PE(39:6)	776.5241	[M-H]-															22.7869	21.3037	9.73997	17.2079	15.6271	12.17	10.365	10.797	15.8524	14.4276	25.974	12.6181	18.2029	11.3073	15.1864	16.9279	13.8653	19.3265	24.0408	15.0405	22.1317	14.4423	16.8155	19.3738	6.75991	11.6911	12.7574	11.4661	13.1128	11.0675	16.0404	10.0969
	C44H74O8P1N1			PE(39:7)	774.5084	[M-H]-															2.85384	1.65205	0.730715	1.56897	2.08805	1.08848	2.97271	2.18708	2.08787	1.48157	4.90126	1.17153	2.51303	0.300071	3.23613	1.44286	1.05006	2.60993	2.58027	3.23968	1.16272	1.81925	1.67924	2.50662	0.201187	0.690925	1.05842	0.582264	0.808143	1.07406	1.62572	0.923044
	C45H88O8P1N1			PE(40:1)	800.6177	[M-H]-															5.19985	13.1751	9.49213	3.04893	9.0133	6.04803	7.1264	3.67411	2.92863	3.31021	1.80084	3.53753	4.23416	5.88056	2.64134	3.34081	12.038	4.82369	12.1786	3.6184	6.04597	4.75809	16.3477	5.60507	3.51714	2.56736	18.5525	12.1398	9.90583	4.99954	4.49021	2.78118
	C45H86O8P1N1			PE(40:2)	798.6021	[M-H]-															8.18553	13.3864	9.501	6.21272	10.3293	7.63824	7.41909	5.28171	5.02341	6.02384	6.57738	5.10603	6.74207	8.46649	5.12715	6.08123	11.3569	7.38719	13.7403	6.66563	9.12528	8.40071	16.7765	9.99472	4.32887	4.99554	15.7596	12.3793	10.6085	9.32236	7.36959	5.06497
	C45H84O8P1N1			PE(40:3)	796.5867	[M-H]-															5.86006	6.96264	4.62271	5.15122	6.3271	4.7847	3.62407	3.90876	4.10462	4.2571	5.53572	4.74002	5.23716	6.72969	4.33989	6.21219	6.12208	7.19649	7.53505	4.92257	6.31962	6.84761	7.32247	6.30592	2.78018	4.39795	6.47938	5.92681	5.22113	6.42351	5.60164	3.88798
	C45H82O8P1N1			PE(40:4)	794.5709	[M-H]-															86.8711	91.0862	63.4413	74.7395	71.5166	70.4346	76.831	69.0809	69.9284	65.768	80.702	60.0087	69.6608	57.3097	71.416	70.3251	85.6605	67.5984	90.0726	81.7543	87.4325	49.7464	71.3312	80.4111	38.0675	52.1087	90.7744	69.2916	78.1631	55.0872	74.0166	58.404
	C45H80O8P1N1			PE(40:5)	792.5552	[M-H]-															222.425	196.584	130.859	265.342	175.73	176.169	198.184	164.368	177.646	147.421	232.467	139.36	160.041	112.684	178.848	167.434	186.142	157.755	189.966	204.388	201.096	110.885	151.165	171.714	122.049	175.733	189.017	204.461	193.491	112.203	184.031	135.479
	C45H78O8P1N1			PE(40:6)	790.5397	[M-H]-															1422.64	1334.29	755.098	1404.27	1019.7	1019.03	1183.13	904.35	1269.62	1014.27	1593.12	816.298	1098.39	732.152	1199.36	1152.06	1069.71	1093.11	1303.89	1149.14	1171.98	659.746	968.654	1044.91	539.437	814.817	1164.12	877.296	934.97	677.078	1139.57	761.037
	C45H76O8P1N1			PE(40:7)	788.5242	[M-H]-															634.478	552.553	277.588	593.698	441.732	480.653	849.649	566.18	632.304	481.339	929.369	426.622	607.095	250.403	818.688	516.809	541.728	450.835	563.503	805.608	489.156	233.321	339.868	427.274	140.948	287.99	373.18	248.989	243.398	266.188	554.551	347.792
	C45H74O8P1N1			PE(40:8)	786.5086	[M-H]-															150.512	110.46	53.3994	145.003	89.4501	117.964	196.92	115.34	149.346	103.739	217.031	90.8677	113.554	41.8408	163.611	96.6527	88.2724	88.2034	109.043	159.241	96.4135	37.7801	53.2386	82.2621	27.1493	56.9289	68.8654	43.9151	56.7418	48.0025	101.151	73.9962
	C45H72O8P1N1			PE(40:9)	784.4929	[M-H]-															5.77463	4.67211	1.30973	5.37344	4.03346	5.40108	9.16054	5.62609	6.20265	3.33696	8.91296	3.86964	4.47899	0.779406	6.36866	3.34362	3.59686	3.45843	3.81489	6.26246	3.09958	0.520136	1.49404	2.69763	0.939999	2.33707	3.28996	1.44873	0.992246	1.70211	4.95727	2.56957
	C46H90O8P1N1			PE(41:1)	814.634	[M-H]-															1.40955	3.97605	2.55903	1.10636	2.32636	1.31687	1.33278	0.901339	0.69732	1.14916	0.952001	1.25813	1.28512	1.5498	0.49704	0.560299	3.00208	1.67484	3.19999	0.649653	1.66252	1.25677	4.53256	2.01072	0.845885	0.812597	3.99961	3.21442	2.50159	1.41077	1.30015	0.652844
	C46H88O8P1N1			PE(41:2)	812.6179	[M-H]-															1.59307	1.33722	0.649295	0.820725	0.943894	0.573832	2.2995	0.723401	0.936488	0.691565	1.64439	0.738849	0.664468	2.1983	1.19344	0.671982	0.945797	3.08576	1.33413	0.591096	0.497014	2.40021	0.725448	0.522847	0.17671	0.562597	0.863839	0.825136	0.688417	1.06731	0.804319	0.345616
	C46H84O8P1N1			PE(41:4)	808.5867	[M-H]-															4.21815	2.37994	0.870148	2.98245	0.971973	1.8563	3.59836	1.86441	2.82838	2.15003	3.95307	1.80734	2.31344	0.55985	3.00981	1.32239	2.03869	1.49994	2.75816	2.51735	2.07182	1.11177	0.980736	1.26363	0.606397	1.41696	1.39909	1.13211	1.28339	1.01432	1.81019	1.18398
	C46H82O8P1N1			PE(41:5)	806.571	[M-H]-															3.04617	3.27487	1.89211	2.55487	2.80698	2.14902	1.76025	1.21685	1.09926	1.66971	2.67625	1.99441	2.15622	1.54945	1.293	1.84243	2.33435	2.33258	2.11615	2.93079	2.66043	1.87822	2.50904	1.97272	1.22673	1.61679	1.31465	1.75635	2.65027	1.55893	1.56261	1.55747
	C46H80O8P1N1			PE(41:6)	804.5555	[M-H]-															16.7275	14.8556	7.35627	11.139	13.1038	11.1799	9.85965	9.56885	10.6315	9.50369	21.3433	9.20931	12.0529	7.55538	10.4874	12.5532	10.6968	12.2536	15.1009	13.1606	13.5526	9.08127	12.0591	13.279	4.38144	8.27078	7.0714	7.5648	10.4106	9.11306	8.76119	6.95068
	C46H78O8P1N1			PE(41:7)	802.5403	[M-H]-															4.14476	2.74567	1.61449	2.95648	3.70563	3.12535	4.59699	2.34704	3.65926	3.36671	6.06071	3.04482	3.6757	2.28169	4.74887	3.09425	2.73716	3.88257	4.34095	4.43551	2.13323	1.97829	2.76044	1.91514	0.635153	0.962395	1.86295	1.07865	1.51523	2.5616	2.73704	1.94661
	C46H76O8P1N1			PE(41:8)	800.5241	[M-H]-															2.16605	1.31885	1.07817	1.10896	1.91474	1.14605	0.564212	0.541656	1.75249	0.912023	1.77411	1.48794	2.26584	1.33699	1.21214	2.16071	1.64386	1.88345	2.81019	1.25225	0.645177	1.37217	1.57144	1.51473	0.154642	0.793896	1.30814	0.520943	2.09091	1.22543	0.99713	0.665022
	C47H92O8P1N1			PE(42:1)	828.6496	[M-H]-															7.25633	21.6569	16.853	4.20452	14.1836	10.3502	11.7145	4.94429	3.73014	4.82915	4.68747	4.40946	5.76888	8.58426	3.64859	4.99598	21.3753	6.66986	20.7879	5.55221	8.28049	7.41405	30.8406	9.2285	5.26124	3.64574	32.3726	22.3727	20.6081	8.22109	6.39124	3.96518
	C47H90O8P1N1			PE(42:2)	826.634	[M-H]-															3.42414	9.83346	7.77592	2.09852	7.38957	4.80595	4.43905	3.26178	2.32327	3.04264	3.82445	2.64773	3.33925	4.87968	2.12185	3.4989	9.41996	4.36201	9.84211	2.90221	5.1521	4.68503	13.3146	4.59256	2.99205	1.7692	13.742	9.04851	8.79069	4.29579	2.97735	2.62194
	C47H88O8P1N1			PE(42:3)	824.6181	[M-H]-															3.178	5.29019	4.32455	1.86081	4.90486	2.04671	2.21608	2.0241	1.24862	1.91493	3.12172	2.04851	2.77355	4.21418	1.5774	1.62579	5.36554	3.82196	5.94627	1.68261	3.62835	3.78003	8.32612	3.82659	1.69431	1.95066	6.6216	4.64689	6.16997	3.98432	2.67352	1.08362
	C47H86O8P1N1			PE(42:4)	822.6028	[M-H]-															8.02608	8.24615	4.90153	7.25984	5.72073	5.0206	6.76142	5.56639	6.52758	6.18272	7.5867	5.02195	6.56153	4.64009	5.7143	5.02781	8.00673	6.15101	8.35053	6.9399	7.44771	4.66888	5.91761	6.88796	2.93645	4.35941	7.52357	6.33994	5.97764	4.24945	7.70516	4.97454
	C47H84O8P1N1			PE(42:5)	820.5871	[M-H]-															11.2825	10.4066	6.16029	9.64568	9.64456	7.84354	9.11566	6.84545	8.1736	7.25299	9.83742	6.92568	10.4165	7.68936	8.23085	8.79511	11.028	10.032	13.7306	9.44895	9.7282	8.0467	9.08823	9.02442	3.90672	5.58627	10.5329	7.7027	9.77093	8.12964	10.5213	6.1629
